FarmCode,BlockCode,growingSystem
R1021,A,Spindle
R1021,F,Spindle
R1021,J,Spindle
R1021,L,Spindle
R1021,N,Spindle
R1021,S,Spindle
R1021,U,Spindle
R1021,W,Spindle
R1021,Z,Spindle
R1149,A,Spindle
R1149,B,Spindle
R1149,C,Spindle
R1149,D,Spindle
R1230,A,FOPS
R1230,B,FOPS
R1230,C,Spindle
R1230,D1,FOPS
R1230,D2,Spindle
R1230,D3,FOPS
R1230,E1-7,Spindle
R1230,E8,Spindle
R1230,F1,Spindle
R1230,F2,FOPS
R1232,B1,Spindle
R1232,B2,Spindle
R1232,B3,Spindle
R1232,B4,Spindle
R1232,C1,Spindle
R1232,C2,Spindle
R1232,C3,Spindle
R1232,C4,Spindle
R1233,A1,Spindle
R1233,A2,Spindle
R1233,B1,Spindle
R1233,B2,Spindle
R1580,P1,2D
R1580,P2,2D
R1580,P3,2D
R1580,P4,2D
R1580,P5,2D
R1580,P6,2D
R1580,P7,2D
R1611,C1,Spindle
R1626,1,Spindle
R1626,2,Spindle
R1626,3,Spindle
R1626,4,Spindle
R1626,A,Spindle
R1626,B,Spindle
R1626,D,Spindle
R1626,E,Spindle
R1626,F,Spindle
R1639,A,Spindle
R1639,B,Spindle
R1751,A3,Spindle
R1751,B1,Spindle
R1751,B2,Spindle
R1811,ROCK,2D
R1856,NTRK,Spindle
R1899,A,Spindle
R1899,B,Spindle
R1899,C,Spindle
R1899,D,Spindle
R1936,B1,Spindle
R1936,B2,Spindle
R2447,A,Spindle
R2447,B,Spindle
R2534,A,Spindle
R2534,B1,Spindle
R2534,B2,Spindle
R2534,C,Spindle
R2534,D1,Spindle
R2534,D2,Spindle
R2534,D3,Spindle
R2534,E1,Spindle
R2534,E2,Spindle
R2534,F1,Spindle
R2534,F2,Spindle
R2668,A,Spindle
R2710,A1,Spindle
R2710,C1,Spindle
R2712,A,Spindle
R2712,b,Spindle
R2724,A,Spindle
R2724,C,Spindle
R2732,EAST,Spindle
R2732,NORTH,Spindle
R2732,WEST,Spindle
R2775,A,Spindle
R2775,B,Spindle
R2776,A,Spindle
R2776,B,Spindle
R2776,C,Spindle
R2776,D,Spindle
R2779,RK,2D
R2786,PPRK1,Spindle
R2786,PPRK2,Spindle
R2841,PHRK,Spindle
R2873,WPR1,2D
R2873,WPR2,2D
R2873,WPR3,2D
R2879,A1,Spindle
R2879,A2,Spindle
R2879,A3,Spindle
R2879,B1,Spindle
R2879,B2,Spindle
R2879,B3,Spindle
R2879,C1,Spindle
R2879,C2,Spindle
R2879,C3,Spindle
R2879,D1,Spindle
R2879,D2,Spindle
R2880,A1,Spindle
R2880,A2,Spindle
R2880,B1,Spindle
R2880,B2,Spindle
R2880,C,Spindle
R2880,D,Spindle
R2880,E,Spindle
R2880,F1,Spindle
R2880,F2,Spindle
R2886,A1,Spindle
R2886,A2,Spindle
R2886,B1,Spindle
R2886,B2,Spindle
R2899,A,Spindle
R2899,B,Spindle
R2915,A,2D
R2915,B,2D
R2917,A,2D
R2917,B,2D
R2917,C,2D
R2917,D,2D
R2917,E,2D
R2917,F,2D
R2918,1,TwinLeader
R2918,13,Spindle
R2918,2,Spindle
R2918,3,Spindle
R2918,9A,2D
R2918,9B,2D
R2919,A1,2D
R2919,A2,2D
R2919,B,2D
R2919,C,2D
R2919,D1,2D
R2919,D2,2D
R2919,E,2D
R2919,F,2D
R2919,G,2D
R2919,H,2D
R2920,P8RK,2D
R2924,A,Spindle
R2924,B,Spindle
R2924,C,Spindle
R2924,D,Spindle
R2925,A,Spindle
R2925,B,Spindle
R2925,C,Spindle
R2926,M5,2D
R2926,M6,2D
R2926,M7,2D
R2926,M8,2D
R2927,M1,2D
R2927,M2,2D
R2927,M3,2D
R2927,M4,2D
R2929,B,2D
R2933,RKT1,2D
R2934,ROCK2,2D
R2934,ROCK4,2D
R2934,ROCK7,2D
R2934,ROCK9,2D
R2936,A,Spindle
R2937,A,2D
R2945,A,FOPS
R2945,B,FOPS
R2945,C,FOPS
R2945,D,FOPS
R2946,10,Spindle
R2946,4,Spindle
R2946,8,Spindle
R2947,A,2D
R2949,30,2D
R2949,31,2D
R2949,32,2D
R2949,36,2D
R2949,37,2D
R2954,S1ROC,2D
